Batch_Size,Run_Label,Verifier_Mode,Ack_Count,Ack_Gas_Total,Ack_Gas_Per_Packet,Relay_Bytes,Relay_Bytes_Per_Packet,Ack_Chunks,T_Prove_s,T_Submit_s,Recv_Tx,Ack_Tx
10,d10-r1-relayer,mock,10,1099476,109947.6,22084,2208.4,1,4.174,4.258,7DEA00B6860EA1537E154D0F625A9460D699CF1C4DF731A85AEB84469EE8EC02,0x7892208921b8e18a7d774521ee73a413bd5900721792819c869e83803bc3a0a8
10,d10-r1-validator,mock,10,1080921,108092.1,22084,2208.4,1,14.289,16.271,1239C5232B09B0C6DA8C619117B15A61A03A4C76682AAA8E1F35622D1993F158,0xc59a9246a66704386015874fed149e523a0571929f93a50e5c57cd22adccc09f
10,d10-r2-relayer,mock,10,1074267,107426.7,22084,2208.4,1,17.555,4.25,FFC3B5774B1B0539F555739AEB7CE54ACAC34CE2510FC9D08B7FB3AE56777D57,0xf9eec6ee477de237012b0106ac2e0f337b1dd538857de695210a0035c60d93b7
10,d10-r2-validator,mock,10,1080459,108045.9,22084,2208.4,1,23.852,12.297,AEDB67AA835A8BF9626FABA78E82D3AD94E3A3E495C9907AAF4520814BBBC64D,0x219e60684ed9fc07f7e4216ceeba71e8cc7da1196e6be3ec92baee367e4fab1c
10,d10-r3-relayer,mock,10,1074267,107426.7,22084,2208.4,1,20.435,8.27,49194D846DAF94EFB236EA30BA93B4AC2F78C85989F58BE3C043E0C6585F3A2A,0x0979593da86493aa40b9fcb806b1ad3cd23a460297b5050e31436977d8516c84
10,d10-r3-validator,mock,10,1106196,110619.6,22084,2208.4,1,4.459,8.221,5C3499E861AD43495F67BFCFD7C88EAC6DC4FD036158692FDDEBC0790E3B85C8,0x3fcfef900b9392f6007b83d1c7d9ab620499a70658b2e90e1e386a55d7a6a04f
25,d25-r1-relayer,mock,25,2558790,102351.6,53284,2131.36,1,18.27,4.434,1A188F893F07F83742F2EFD7C2E9B34C4AB3BA592A28363BABED78C5D9F20212,0x96bd619261e82682c6dba6bb7848d2e8aae6d30477bcc5198d7404d27b7ec615
25,d25-r1-validator,mock,25,2538321,101532.84,53284,2131.36,1,20.82,16.426,A40DCA99DB10A5CDB933BED3783C3B0A7B40D23405DEB335DF377D56087109AD,0xd8f652dcb026d79cbe93b19f575fec486bdebd022698fb2846bab949fb4dd34d
25,d25-r2-relayer,mock,25,2559186,102367.44,53284,2131.36,1,15.094,8.343,667FB9C07D751C96CA6055F91B37E8A048BFFF4AF625B55F17B3C9D4B09FE7F1,0xd282ea730712d11fce09cd0fbe7c6b5abb73c66a4e9ff5d602afe7c9ac8374d3
25,d25-r2-validator,mock,25,2538717,101548.68,53284,2131.36,1,30.046,16.286,1EA3360D9514979C5C565B8CDEDE02029A490505D83D3D62A35C2D64097A03EA,0x36f2104e184bb0b599083aed8efc950cb29e1e06b2b996578ad008e95675aa3c
25,d25-r3-relayer,mock,25,2533581,101343.24,53284,2131.36,1,15.289,4.34,535526A11E1097B3FC6F322E6292024BD1BB6014585A42E90F68AFDCF8BF7D2C,0x94474201a260a4436e4c2451cf7f84bba7b61682e02ffe889ed25066975548c0
25,d25-r3-validator,mock,25,2538717,101548.68,53284,2131.36,1,17.466,12.374,863C8D21F526845AA888E0DC7B5A2E59675DC6E3B66960C958ADF750A98F146A,0x6047cc658113d8836c13b70f17e7bf2f82556aa66c31a5d122a63f25e97d31fb
