Batch_Size,Repeat,Signer_Key_Type,Signer_Key,Run_Label,Generation,Offset,Deliver_Gas_Total,Deliver_Gas_Per_Tx,Deliver_Tx_Bytes,Chunks,T_Deliver_s,Deliver_Per_Tx_s,Gen_Wait_Finality_s,Gen_Update_Client_Gas,Gen_Update_Client_s,Gen_Use_Slot
50,1,mldsa65,relayer,d50-r1-relayer,gen1788778253,0,7628368,152567.36,338408,1,4.793,0.09586,420.433,929888,2.882,2400
50,2,mldsa65,relayer,d50-r2-relayer,gen1788778253,50,7650759,153015.18,340554,1,2.637,0.05274,420.433,929888,2.882,2400
50,3,mldsa65,relayer,d50-r3-relayer,gen1788778253,100,7639514,152790.28,339479,1,4.765,0.0953,420.433,929888,2.882,2400
100,1,mldsa65,relayer,d100-r1-relayer,gen1788778253,150,15056328,150563.28,670938,1,2.965,0.02965,420.433,929888,2.882,2400
100,2,mldsa65,relayer,d100-r2-relayer,gen1788778253,250,15075365,150753.65,672790,1,3.011,0.03011,420.433,929888,2.882,2400
100,3,mldsa65,relayer,d100-r3-relayer,gen1788778253,350,15093850,150938.5,674578,1,2.867,0.02867,420.433,929888,2.882,2400
500,1,mldsa65,relayer,d500-r1-relayer,gen1788778253,450,74673362,149346.724,3349971,1,5.001,0.010002,420.433,929888,2.882,2400
500,2,mldsa65,relayer,d500-r2-relayer,gen1788778253,950,74628026,149256.052,3345655,1,8.645,0.01729,420.433,929888,2.882,2400
500,3,mldsa65,relayer,d500-r3-relayer,gen1788778253,1450,74640147,149280.294,3346749,1,7.208,0.014416,420.433,929888,2.882,2400
1000,1,mldsa65,relayer,d1000-r1-relayer,gen1788778253,1950,149359449,149359.449,6701212,2,13.241,0.013241,420.433,929888,2.882,2400
1000,2,mldsa65,relayer,d1000-r2-relayer,gen1788778253,2950,149328645,149328.645,6698319,2,10.541,0.010541,420.433,929888,2.882,2400
1000,3,mldsa65,relayer,d1000-r3-relayer,gen1788778253,3950,149290001,149290.001,6694527,2,10.34,0.01034,420.433,929888,2.882,2400
