Batch_Size,Repeat,Signer_Key_Type,Signer_Key,Run_Label,Generation,Offset,Deliver_Gas_Total,Deliver_Gas_Per_Tx,Deliver_Tx_Bytes,Chunks,T_Deliver_s,Deliver_Per_Tx_s,Gen_Wait_Finality_s,Gen_Update_Client_Gas,Gen_Update_Client_s,Gen_Use_Slot
50,1,secp256k1,validator,d50-r1-validator,gen1788776069,0,7843981,156879.62,317224,1,2.652,0.053040000000000004,456.436,780355,4.777,2048
50,2,secp256k1,validator,d50-r2-validator,gen1788776069,50,7871778,157435.56,320936,1,4.717,0.09434,456.436,780355,4.777,2048
50,3,secp256k1,validator,d50-r3-validator,gen1788776069,100,7323211,146464.22,318745,1,4.733,0.09466,456.436,780355,4.777,2048
100,1,secp256k1,validator,d100-r1-validator,gen1788776069,150,14636891,146368.91,640757,1,2.85,0.0285,456.436,780355,4.777,2048
100,2,secp256k1,validator,d100-r2-validator,gen1788776069,250,14639154,146391.54,640983,1,2.733,0.02733,456.436,780355,4.777,2048
100,3,secp256k1,validator,d100-r3-validator,gen1788776069,350,14632189,146321.89,639934,1,2.775,0.02775,456.436,780355,4.777,2048
500,1,secp256k1,validator,d500-r1-validator,gen1788776069,450,72979896,145959.792,3197715,1,6.202,0.012404,456.436,780355,4.777,2048
500,2,secp256k1,validator,d500-r2-validator,gen1788776069,950,73035831,146071.662,3203178,1,8.658,0.017315999999999998,456.436,780355,4.777,2048
500,3,secp256k1,validator,d500-r3-validator,gen1788776069,1450,72957248,145914.496,3195648,1,6.382,0.012764,456.436,780355,4.777,2048
1000,1,secp256k1,validator,d1000-r1-validator,gen1788776069,1950,146007524,146007.524,6400096,2,10.57,0.01057,456.436,780355,4.777,2048
1000,2,secp256k1,validator,d1000-r2-validator,gen1788776069,2950,145941419,145941.419,6393796,2,10.926,0.010926,456.436,780355,4.777,2048
1000,3,secp256k1,validator,d1000-r3-validator,gen1788776069,3950,145898401,145898.401,6389040,2,15.411,0.015411,456.436,780355,4.777,2048
