N_Users,Trial,Signer_Key_Type,Run_Label,Wave,Flow,Concurrency,Submit_Gas_Total,Submit_Gas_Per_Tx,Update_Client_Gas,Deliver_Gas_Total,Deliver_Gas_Per_Tx,Deliver_Tx_Bytes,T_Submit_s,T_Wait_Finality_s,T_Update_Client_s,T_Fetch_Proof_s,T_Deliver_s,T_Other_s,T_Total_s,Transfers_Per_Second,Credited_Height
1,1,secp256k1,n1-t1-validator-w0f0,0,0,10,166001,166001.0,780109,169042,169042.0,4398,4.118,528.402,12.913,0.028,5.122,1.1110000057219622,551.694000005722,0.0018125990132022974,16013
1,2,secp256k1,n1-t2-validator-w0f1,0,1,10,166001,166001.0,780109,169563,169563.0,4399,4.108,528.402,12.913,0.034,5.033,0.945000181198111,551.4350001811981,0.001813450360734096,16013
1,3,secp256k1,n1-t3-validator-w0f2,0,2,10,166001,166001.0,780109,181769,181769.0,4269,4.129,528.402,12.913,0.02,5.082,1.0779998340606198,551.6239998340607,0.0018128290290140017,16013
1,4,secp256k1,n1-t4-validator-w0f3,0,3,10,166001,166001.0,780109,181769,181769.0,4269,4.13,528.402,12.913,0.011,5.164,1.2050000476837113,551.8250000476837,0.0018121687127505804,16013
1,5,secp256k1,n1-t5-validator-w0f4,0,4,10,166001,166001.0,780109,183544,183544.0,4438,4.128,528.402,12.913,0.01,5.241,1.0999999103545406,551.7939999103546,0.0018122705215396718,16013
1,6,secp256k1,n1-t6-validator-w0f5,0,5,10,166001,166001.0,780109,183083,183083.0,4397,4.12,528.402,12.913,0.01,5.136,1.0630000534057444,551.6440000534058,0.00181276330369439,16013
1,7,secp256k1,n1-t7-validator-w0f6,0,6,10,166001,166001.0,780109,182343,182343.0,4333,4.115,528.402,12.913,0.019,4.826,0.8969999313353583,551.1719999313354,0.0018143156766391964,16013
1,8,secp256k1,n1-t8-validator-w0f7,0,7,10,166001,166001.0,780109,183080,183080.0,4397,4.111,528.402,12.913,0.009,5.149,0.9350000534057017,551.5190000534058,0.0018131741606420922,16013
1,9,secp256k1,n1-t9-validator-w0f8,0,8,10,166001,166001.0,780109,183083,183083.0,4397,4.141,528.402,12.913,0.009,5.207,1.1380001811980947,551.8100001811981,0.001812217972982783,16013
1,10,secp256k1,n1-t10-validator-w0f9,0,9,10,166001,166001.0,780109,183083,183083.0,4397,4.113,528.402,12.913,0.015,5.348,1.0180000152587354,551.8090000152588,0.0018122212576676853,16013
1,11,secp256k1,n1-t11-validator-w1f0,1,0,10,166001,166001.0,780142,171019,171019.0,4591,4.11,540.41,4.619,0.02,5.229,1.0310001487731597,555.4190001487732,0.0018004425482962276,16126
1,12,secp256k1,n1-t12-validator-w1f1,1,1,10,166001,166001.0,780142,170206,170206.0,4463,4.12,540.41,4.619,0.018,4.854,0.9199999847411391,554.9409999847412,0.0018019933651099778,16126
1,13,secp256k1,n1-t13-validator-w1f2,1,2,10,166001,166001.0,780142,168457,168457.0,4292,4.133,540.41,4.619,0.044,5.066,1.093999937057447,555.3659999370575,0.0018006143698269883,16126
1,14,secp256k1,n1-t14-validator-w1f3,1,3,10,166001,166001.0,780142,172867,172867.0,4719,4.114,540.41,4.619,0.007,4.76,1.077999916076692,554.9879999160767,0.0018018407607934162,16126
1,15,secp256k1,n1-t15-validator-w1f4,1,4,10,166001,166001.0,780142,168457,168457.0,4292,4.121,540.41,4.619,0.011,5.184,1.2020001697541147,555.547000169754,0.0018000277198768745,16126
1,16,secp256k1,n1-t16-validator-w1f5,1,5,10,166001,166001.0,780142,170251,170251.0,4463,4.112,540.41,4.619,0.016,5.332,0.9749999866486405,555.4639999866486,0.0018002966889376028,16126
1,17,secp256k1,n1-t17-validator-w1f6,1,6,10,166001,166001.0,780142,170251,170251.0,4463,4.133,540.41,4.619,0.009,5.245,1.0640000190734327,555.4800000190735,0.0018002448332355135,16126
1,18,secp256k1,n1-t18-validator-w1f7,1,7,10,166001,166001.0,780142,170251,170251.0,4463,4.111,540.41,4.619,0.009,5.145,1.0529998836517507,555.3469998836517,0.0018006759741378013,16126
1,19,secp256k1,n1-t19-validator-w1f8,1,8,10,166001,166001.0,780142,172870,172870.0,4719,4.106,540.41,4.619,0.015,5.208,1.0870001716614297,555.4450001716614,0.0018003582707395837,16126
1,20,secp256k1,n1-t20-validator-w1f9,1,9,10,166001,166001.0,780142,170240,170240.0,4462,4.123,540.41,4.619,0.008,5.176,1.1200000896452593,555.4560000896454,0.001800322617522557,16126
1,21,secp256k1,n1-t21-validator-w2f0,2,0,10,166001,166001.0,780304,168555,168555.0,4356,4.156,552.425,14.991,0.022,2.83,0.9469998130798558,575.3709998130798,0.001738009041687657,16243
1,22,secp256k1,n1-t22-validator-w2f1,2,1,10,166001,166001.0,780304,171593,171593.0,4591,4.107,552.425,14.991,0.01,3.0,1.042999975204566,575.5759999752045,0.0017373900232863766,16243
1,23,secp256k1,n1-t23-validator-w2f2,2,2,10,166001,166001.0,780304,172250,172250.0,4655,4.142,552.425,14.991,0.015,2.828,1.0380001296997534,575.4390001296997,0.001737803659075258,16243
1,24,secp256k1,n1-t24-validator-w2f3,2,3,10,166001,166001.0,780304,170940,170940.0,4527,4.16,552.425,14.991,0.007,3.013,1.1419999160767702,575.7379999160767,0.0017369011601557768,16243
1,25,secp256k1,n1-t25-validator-w2f4,2,4,10,166001,166001.0,780304,170939,170939.0,4527,4.108,552.425,14.991,0.008,2.865,1.0520001201630294,575.449000120163,0.0017377734600132835,16243
1,26,secp256k1,n1-t26-validator-w2f5,2,5,10,166001,166001.0,780304,171593,171593.0,4591,4.111,552.425,14.991,0.008,3.039,1.143000007629439,575.7170000076294,0.0017369645155288936,16243
1,27,secp256k1,n1-t27-validator-w2f6,2,6,10,166001,166001.0,780304,171593,171593.0,4591,4.131,552.425,14.991,0.02,2.995,1.178999937057597,575.7409999370575,0.0017368921096627204,16243
1,28,secp256k1,n1-t28-validator-w2f7,2,7,10,166001,166001.0,780304,174211,174211.0,4847,4.113,552.425,14.991,0.019,2.817,1.2749998664855866,575.6399998664856,0.0017371968595510056,16243
1,29,secp256k1,n1-t29-validator-w2f8,2,8,10,166001,166001.0,780304,172253,172253.0,4655,4.131,552.425,14.991,0.006,3.09,1.0609999961853873,575.7039999961853,0.0017370037380435538,16243
1,30,secp256k1,n1-t30-validator-w2f9,2,9,10,166001,166001.0,780304,170940,170940.0,4527,4.133,552.425,14.991,0.013,3.023,1.1259999656676882,575.7109999656677,0.0017369826181185257,16243
1,31,secp256k1,n1-t31-validator-w3f0,3,0,10,166001,166001.0,780365,171077,171077.0,4591,4.14,540.412,17.066,0.011,5.268,1.0520001201629157,567.949000120163,0.001760721472858349,16358
1,32,secp256k1,n1-t32-validator-w3f1,3,1,10,166001,166001.0,780365,172284,172284.0,4655,4.116,540.412,17.066,0.015,5.199,1.0439999980926586,567.8519999980927,0.001761022238194739,16358
1,33,secp256k1,n1-t33-validator-w3f2,3,2,10,166001,166001.0,780365,172906,172906.0,4719,4.118,540.412,17.066,0.009,5.24,1.0430000114439508,567.8880000114441,0.0017609106020550671,16358
1,34,secp256k1,n1-t34-validator-w3f3,3,3,10,166001,166001.0,780365,172906,172906.0,4719,4.11,540.412,17.066,0.024,5.228,0.9609998798370043,567.800999879837,0.001761180413933101,16358
1,35,secp256k1,n1-t35-validator-w3f4,3,4,10,166001,166001.0,780365,172906,172906.0,4719,4.117,540.412,17.066,0.01,5.234,1.0369999275206965,567.8759999275208,0.0017609478127753808,16358
1,36,secp256k1,n1-t36-validator-w3f5,3,5,10,166001,166001.0,780365,170895,170895.0,4527,4.128,540.412,17.066,0.01,4.694,1.114999952316225,567.4249999523163,0.0017623474469472358,16358
1,37,secp256k1,n1-t37-validator-w3f6,3,6,10,166001,166001.0,780365,172254,172254.0,4655,4.12,540.412,17.066,0.01,5.271,0.9799999675750541,567.8589999675751,0.0017610005301617133,16358
1,38,secp256k1,n1-t38-validator-w3f7,3,7,10,166001,166001.0,780365,173368,173368.0,4760,4.118,540.412,17.066,0.01,5.247,1.117000028610164,567.9700000286102,0.0017606563726070517,16358
1,39,secp256k1,n1-t39-validator-w3f8,3,8,10,166001,166001.0,780365,170926,170926.0,4526,4.126,540.412,17.066,0.014,5.172,0.9590000724791707,567.7490000724792,0.0017613417194435204,16358
1,40,secp256k1,n1-t40-validator-w3f9,3,9,10,166001,166001.0,780365,173368,173368.0,4760,4.113,540.412,17.066,0.007,5.251,0.9600000152587427,567.8090000152588,0.0017611555998110753,16358
1,41,secp256k1,n1-t41-validator-w4f0,4,0,10,166001,166001.0,780384,172235,172235.0,4696,8.137,528.404,2.55,0.018,5.255,1.134000144958577,545.4980001449585,0.0018331872889254662,16469
1,42,secp256k1,n1-t42-validator-w4f1,4,1,10,166001,166001.0,780384,172317,172317.0,4655,8.118,528.404,2.55,0.011,5.232,0.996999797821104,545.311999797821,0.0018338125703647788,16469
1,43,secp256k1,n1-t43-validator-w4f2,4,2,10,166001,166001.0,780384,174274,174274.0,4847,8.122,528.404,2.55,0.024,5.2,1.0540000915527798,545.3540000915527,0.0018336713397758564,16469
1,44,secp256k1,n1-t44-validator-w4f3,4,3,10,166001,166001.0,780384,174241,174241.0,4847,8.13,528.404,2.55,0.011,5.071,1.0070000972748403,545.1730000972748,0.0018342801272652365,16469
1,45,secp256k1,n1-t45-validator-w4f4,4,4,10,166001,166001.0,780384,174241,174241.0,4847,8.146,528.404,2.55,0.011,5.146,1.0339998893739448,545.2909998893738,0.001833883193015978,16469
1,46,secp256k1,n1-t46-validator-w4f5,4,5,10,166001,166001.0,780384,171620,171620.0,4591,8.147,528.404,2.55,0.013,5.164,1.034999963760356,545.3129999637604,0.0018338092069443725,16469
1,47,secp256k1,n1-t47-validator-w4f6,4,6,10,166001,166001.0,780384,170970,170970.0,4527,8.119,528.404,2.55,0.011,5.152,1.0249999179840188,545.260999917984,0.0018339840922978463,16469
1,48,secp256k1,n1-t48-validator-w4f7,4,7,10,166001,166001.0,780384,172284,172284.0,4655,8.119,528.404,2.55,0.013,5.211,0.9569999485015614,545.2539999485016,0.0018340076369810188,16469
1,49,secp256k1,n1-t49-validator-w4f8,4,8,10,166001,166001.0,780384,171578,171578.0,4591,8.144,528.404,2.55,0.008,4.715,0.9750000038146709,544.7960000038147,0.0018355494533605203,16469
1,50,secp256k1,n1-t50-validator-w4f9,4,9,10,166001,166001.0,780384,174241,174241.0,4847,8.123,528.404,2.55,0.015,5.251,1.0480000324249659,545.3910000324249,0.001833546941443015,16469
1,51,secp256k1,n1-t51-validator-w5f0,5,0,10,166001,166001.0,780365,172423,172423.0,4719,8.138,552.425,4.634,0.009,4.89,0.9119998970031702,571.0079998970032,0.001751288948982111,16585
1,52,secp256k1,n1-t52-validator-w5f1,5,1,10,166001,166001.0,780365,176052,176052.0,5016,4.103,552.425,4.634,0.009,5.167,4.961999952316319,571.2999999523163,0.0017503938387597852,16585
1,53,secp256k1,n1-t53-validator-w5f2,5,2,10,166001,166001.0,780365,172972,172972.0,4719,4.128,552.425,4.634,0.014,5.164,4.935000190734854,571.3000001907349,0.0017503938380292996,16585
1,54,secp256k1,n1-t54-validator-w5f3,5,3,10,166001,166001.0,780365,173580,173580.0,4783,4.123,552.425,4.634,0.007,4.834,4.868000032425016,570.8910000324249,0.001751647862627372,16585
1,55,secp256k1,n1-t55-validator-w5f4,5,4,10,166001,166001.0,780365,172972,172972.0,4719,4.106,552.425,4.634,0.006,4.929,4.867999935150237,570.9679999351501,0.001751411637978974,16585
1,56,secp256k1,n1-t56-validator-w5f5,5,5,10,166001,166001.0,780365,173614,173614.0,4782,4.115,552.425,4.634,0.007,5.154,4.865999975204545,571.2009999752045,0.0017506972152419367,16585
1,57,secp256k1,n1-t57-validator-w5f6,5,6,10,166001,166001.0,780365,172972,172972.0,4719,4.112,552.425,4.634,0.045,5.071,4.991000116348346,571.2780001163483,0.0017504612461819585,16585
1,58,secp256k1,n1-t58-validator-w5f7,5,7,10,166001,166001.0,780365,172961,172961.0,4718,4.112,552.425,4.634,0.025,4.969,5.144999942779577,571.3099999427795,0.0017503632005393859,16585
1,59,secp256k1,n1-t59-validator-w5f8,5,8,10,166001,166001.0,780365,172319,172319.0,4655,4.134,552.425,4.634,0.01,5.09,5.0919999904632505,571.3849999904633,0.001750133447704596,16585
1,60,secp256k1,n1-t60-validator-w5f9,5,9,10,166001,166001.0,780365,174747,174747.0,4888,4.107,552.425,4.634,0.015,5.258,4.777000080108678,571.2160000801086,0.0017506512420166062,16585
1,1,mldsa65,n1-t1-relayer-w0f0,0,0,10,166001,166001.0,929877,323870,323870.0,10081,8.156,540.411,2.551,0.007,4.795,1.0219999122621175,556.941999912262,0.0017955191028105894,16813
1,2,mldsa65,n1-t2-relayer-w0f1,0,1,10,166001,166001.0,929877,377443,377443.0,10013,8.123,540.411,2.551,0.021,3.052,1.0390000267028654,555.1970000267029,0.0018011624701716755,16813
1,3,mldsa65,n1-t3-relayer-w0f2,0,2,10,166001,166001.0,929877,379871,379871.0,10246,8.126,540.411,2.551,0.007,2.969,1.1629999980926868,555.2269999980927,0.0018010651499358555,16813
1,4,mldsa65,n1-t4-relayer-w0f3,0,3,10,166001,166001.0,929877,375485,375485.0,9821,8.128,540.411,2.551,0.041,3.13,0.8979999198912765,555.1589999198914,0.001801285758033822,16813
1,5,mldsa65,n1-t5-relayer-w0f4,0,4,10,166001,166001.0,929877,376138,376138.0,9885,8.12,540.411,2.551,0.012,2.954,0.9499999065400289,554.9979999065399,0.0018018082951080853,16813
1,6,mldsa65,n1-t6-relayer-w0f5,0,5,10,166001,166001.0,929877,376135,376135.0,9885,8.135,540.411,2.551,0.007,3.07,0.8659999618530492,555.039999961853,0.0018016719516948838,16813
1,7,mldsa65,n1-t7-relayer-w0f6,0,6,10,166001,166001.0,929877,377443,377443.0,10013,8.144,540.411,2.551,0.009,2.92,1.1160000228882154,555.1510000228882,0.0018013117151167363,16813
1,8,mldsa65,n1-t8-relayer-w0f7,0,7,10,166001,166001.0,929877,377443,377443.0,10013,8.139,540.411,2.551,0.013,2.863,1.0859999637602868,555.0629999637604,0.0018015972962804028,16813
1,9,mldsa65,n1-t9-relayer-w0f8,0,8,10,166001,166001.0,929877,374825,374825.0,9757,8.12,540.411,2.551,0.017,3.058,1.0600000076293554,555.2170000076294,0.0018010975888459084,16813
1,10,mldsa65,n1-t10-relayer-w0f9,0,9,10,166001,166001.0,929877,376791,376791.0,9949,8.122,540.411,2.551,0.021,3.044,0.962000061035269,555.1110000610352,0.0018014415133010312,16813
1,11,mldsa65,n1-t11-relayer-w1f0,1,0,10,166001,166001.0,929868,320616,320616.0,9759,8.141,540.433,6.73,0.017,5.042,0.924999868392888,561.287999868393,0.001781616568026527,16927
1,12,mldsa65,n1-t12-relayer-w1f1,1,1,10,166001,166001.0,929868,323400,323400.0,9992,8.132,540.433,6.73,0.008,4.905,0.9910001201629939,561.199000120163,0.001781899112054515,16927
1,13,mldsa65,n1-t13-relayer-w1f2,1,2,10,166001,166001.0,929868,325402,325402.0,10184,8.127,540.433,6.73,0.019,2.873,1.1439999752044514,559.3259999752045,0.0017878661103619912,16927
1,14,mldsa65,n1-t14-relayer-w1f3,1,3,10,166001,166001.0,929868,321669,321669.0,9823,8.129,540.433,6.73,0.009,5.127,1.0750000209808377,561.5030000209808,0.0017809343849679066,16927
1,15,mldsa65,n1-t15-relayer-w1f4,1,4,10,166001,166001.0,929868,323442,323442.0,9992,8.139,540.433,6.73,0.008,5.057,0.9440001087187966,561.3110001087189,0.0017815435646305036,16927
1,16,mldsa65,n1-t16-relayer-w1f5,1,5,10,166001,166001.0,929868,324240,324240.0,10067,8.142,540.433,6.73,0.007,4.957,1.0349999008178656,561.3039999008179,0.001781565782849756,16927
1,17,mldsa65,n1-t17-relayer-w1f6,1,6,10,166001,166001.0,929868,324308,324308.0,10081,8.123,540.433,6.73,0.019,4.947,1.1319998245238594,561.3839998245239,0.0017813119011453437,16927
1,18,mldsa65,n1-t18-relayer-w1f7,1,7,10,166001,166001.0,929868,324308,324308.0,10081,8.128,540.433,6.73,0.012,2.804,1.2330001525879197,559.3400001525879,0.0017878213604019025,16927
1,19,mldsa65,n1-t19-relayer-w1f8,1,8,10,166001,166001.0,929868,324308,324308.0,10081,8.142,540.433,6.73,0.024,3.018,1.0590001373290079,559.4060001373291,0.0017876104291954485,16927
1,20,mldsa65,n1-t20-relayer-w1f9,1,9,10,166001,166001.0,929868,323616,323616.0,10014,8.138,540.433,6.73,0.033,2.891,1.175000095367409,559.4000000953674,0.00178762960284147,16927
1,21,mldsa65,n1-t21-relayer-w2f0,2,0,10,166001,166001.0,929868,323052,323052.0,9992,4.119,540.441,6.729,0.023,4.935,1.2139999656676537,557.4609999656677,0.0017938474620853959,17041
1,22,mldsa65,n1-t22-relayer-w2f1,2,1,10,166001,166001.0,929868,323445,323445.0,9992,4.124,540.441,6.729,0.014,4.918,0.9660001506804292,557.1920001506805,0.0017947134914528054,17041
1,23,mldsa65,n1-t23-relayer-w2f2,2,2,10,166001,166001.0,929868,326084,326084.0,10250,4.109,540.441,6.729,0.009,4.924,1.0939999942778513,557.305999994278,0.0017943463734649678,17041
1,24,mldsa65,n1-t24-relayer-w2f3,2,3,10,166001,166001.0,929868,324950,324950.0,10144,4.113,540.441,6.729,0.01,2.599,1.272000034332109,555.1640000343323,0.001801269534656711,17041
1,25,mldsa65,n1-t25-relayer-w2f4,2,4,10,166001,166001.0,929868,326084,326084.0,10250,4.108,540.441,6.729,0.007,5.154,1.023999820709264,557.4629998207092,0.0017938410267975078,17041
1,26,mldsa65,n1-t26-relayer-w2f5,2,5,10,166001,166001.0,929868,321670,321670.0,9823,4.11,540.441,6.729,0.016,5.007,1.2209999294281033,557.5239999294281,0.0017936447581208717,17041
1,27,mldsa65,n1-t27-relayer-w2f6,2,6,10,166001,166001.0,929868,322320,322320.0,9887,4.109,540.441,6.729,0.013,4.815,0.995999925613205,557.1029999256134,0.0017950002066646992,17041
1,28,mldsa65,n1-t28-relayer-w2f7,2,7,10,166001,166001.0,929868,322277,322277.0,9887,4.119,540.441,6.729,0.009,4.763,0.9859999313353001,557.0469999313354,0.0017951806582268018,17041
1,29,mldsa65,n1-t29-relayer-w2f8,2,8,10,166001,166001.0,929868,322322,322322.0,9887,4.114,540.441,6.729,0.014,5.055,0.9379998893737138,557.2909998893738,0.0017943946702862726,17041
1,30,mldsa65,n1-t30-relayer-w2f9,2,9,10,166001,166001.0,929868,322975,322975.0,9951,4.124,540.441,6.729,0.008,4.975,1.26299996185287,557.539999961853,0.0017935932849094598,17041
1,31,mldsa65,n1-t31-relayer-w3f0,3,0,10,166001,166001.0,929868,324568,324568.0,10145,4.11,552.43,12.926,0.012,5.254,1.0969999961853318,575.8289999961853,0.0017366266721659115,17158
1,32,mldsa65,n1-t32-relayer-w3f1,3,1,10,166001,166001.0,929868,324263,324263.0,10081,4.119,552.43,12.926,0.007,4.786,1.0000001258850943,575.268000125885,0.0017383202260184323,17158
1,33,mldsa65,n1-t33-relayer-w3f2,3,2,10,166001,166001.0,929868,322322,322322.0,9887,4.123,552.43,12.926,0.011,5.085,1.1680000305175327,575.7430000305176,0.0017368860758133306,17158
1,34,mldsa65,n1-t34-relayer-w3f3,3,3,10,166001,166001.0,929868,321670,321670.0,9823,4.12,552.43,12.926,0.009,5.312,1.0460001735687001,575.8430001735687,0.0017365844504467073,17158
1,35,mldsa65,n1-t35-relayer-w3f4,3,4,10,166001,166001.0,929868,324961,324961.0,10145,4.118,552.43,12.926,0.012,5.081,1.2980000095367359,575.8650000095367,0.0017365181075138084,17158
1,36,mldsa65,n1-t36-relayer-w3f5,3,5,10,166001,166001.0,929868,322975,322975.0,9951,4.136,552.43,12.926,0.007,5.098,1.1059998302461054,575.702999830246,0.0017370067557314515,17158
1,37,mldsa65,n1-t37-relayer-w3f6,3,6,10,166001,166001.0,929868,326880,326880.0,10325,4.13,552.43,12.926,0.007,5.087,1.0489999485016597,575.6289999485016,0.0017372300563200684,17158
1,38,mldsa65,n1-t38-relayer-w3f7,3,7,10,166001,166001.0,929868,324961,324961.0,10145,4.111,552.43,12.926,0.017,5.139,1.0629998703002457,575.6859998703003,0.0017370580493972338,17158
1,39,mldsa65,n1-t39-relayer-w3f8,3,8,10,166001,166001.0,929868,326084,326084.0,10250,4.112,552.43,12.926,0.021,5.111,1.150000000000091,575.75,0.0017368649587494573,17158
1,40,mldsa65,n1-t40-relayer-w3f9,3,9,10,166001,166001.0,929868,322319,322319.0,9887,4.128,552.43,12.926,0.029,4.944,1.1010000877380435,575.558000087738,0.001737444358079568,17158
1,41,mldsa65,n1-t41-relayer-w4f0,4,0,10,166001,166001.0,929868,322582,322582.0,9951,4.11,528.415,19.172,0.009,5.189,1.0240001487732115,557.9190001487732,0.0017923748783126988,17272
1,42,mldsa65,n1-t42-relayer-w4f1,4,1,10,166001,166001.0,929868,325403,325403.0,10184,4.134,528.415,19.172,0.014,5.165,1.0700000286102522,557.9700000286102,0.0017922110506814425,17272
1,43,mldsa65,n1-t43-relayer-w4f2,4,2,10,166001,166001.0,929868,325614,325614.0,10209,4.109,528.415,19.172,0.021,2.748,1.1560000514983813,555.6210000514984,0.0017997879848085543,17272
1,44,mldsa65,n1-t44-relayer-w4f3,4,3,10,166001,166001.0,929868,324263,324263.0,10081,4.128,528.415,19.172,0.017,4.78,1.027000034332218,557.5390000343323,0.0017935965016589363,17272
1,45,mldsa65,n1-t45-relayer-w4f4,4,4,10,166001,166001.0,929868,324961,324961.0,10145,4.109,528.415,19.172,0.032,2.751,1.1360000095367013,555.6150000095367,0.0017998074205751028,17272
1,46,mldsa65,n1-t46-relayer-w4f5,4,5,10,166001,166001.0,929868,324747,324747.0,10120,4.111,528.415,19.172,0.016,4.861,0.9110000610352245,557.4860000610352,0.0017937670181682,17272
1,47,mldsa65,n1-t47-relayer-w4f6,4,6,10,166001,166001.0,929868,326737,326737.0,10314,4.118,528.415,19.172,0.027,5.085,1.1279999332426769,557.9449999332428,0.0017922913550970944,17272
1,48,mldsa65,n1-t48-relayer-w4f7,4,7,10,166001,166001.0,929868,326736,326736.0,10314,4.106,528.415,19.172,0.016,5.068,0.9400000076294646,557.7170000076294,0.001793024060565341,17272
1,49,mldsa65,n1-t49-relayer-w4f8,4,8,10,166001,166001.0,929868,323627,323627.0,10015,4.115,528.415,19.172,0.015,2.84,1.0970000438690022,555.654000043869,0.0017996810963676131,17272
1,50,mldsa65,n1-t50-relayer-w4f9,4,9,10,166001,166001.0,929868,324750,324750.0,10120,4.11,528.415,19.172,0.009,5.151,0.962000005722075,557.819000005722,0.0017926961971351677,17272
