Workers,Batch_Size,Repeat,Signer_Key_Type,Transfers,T_Elapsed_s,Transfers_Per_Second,Deliver_Gas_Total,Deliver_Gas_Per_Tx,Generation,Gen_Wait_Finality_s
1,50,1,secp256k1,50,5.601356267929077,8.926409535183147,7903466,158069.32,tp1788801394,480.386
2,50,1,secp256k1,100,3.6243882179260254,27.59086333671583,16231396,162313.96,tp1788801394,480.386
5,50,1,secp256k1,250,6.2344958782196045,40.09947313837874,39802907,159211.628,tp1788801394,480.386
10,50,1,secp256k1,500,5.802315711975098,86.17249126380283,78924329,157848.658,tp1788801394,480.386
1,50,1,mldsa65,50,3.49015474319458,14.326012363060558,8039402,160788.04,tp1788801394,480.386
2,50,1,mldsa65,100,5.6378161907196045,17.73736436540974,16079808,160798.08,tp1788801394,480.386
5,50,1,mldsa65,250,4.088623762130737,61.14526905496325,40187404,160749.616,tp1788801394,480.386
10,50,1,mldsa65,500,7.873140811920166,63.507056706389065,80467846,160935.692,tp1788801394,480.386
1,50,2,secp256k1,50,3.5003316402435303,14.284360780317755,7899938,157998.76,tp1788801394,480.386
2,50,2,secp256k1,100,3.6035654544830322,27.750293775181618,15793658,157936.58,tp1788801394,480.386
5,50,2,secp256k1,250,6.247061014175415,40.018818358379505,39463755,157855.02,tp1788801394,480.386
10,50,2,secp256k1,500,5.855183839797974,85.39441521912178,78958559,157917.118,tp1788801394,480.386
1,50,2,mldsa65,50,3.5000813007354736,14.285382453685711,8065735,161314.7,tp1788801394,480.386
2,50,2,mldsa65,100,5.676159858703613,17.617544693823888,16104382,161043.82,tp1788801394,480.386
5,50,2,mldsa65,250,4.131442546844482,60.51155187694556,40207006,160828.024,tp1788801394,480.386
10,50,2,mldsa65,500,7.9734697341918945,62.7079573470877,80404301,160808.602,tp1788801394,480.386
1,50,3,secp256k1,50,7.64940881729126,6.536452841555088,7908108,158162.16,tp1788801394,480.386
2,50,3,secp256k1,100,5.68425178527832,17.592464897313423,15807242,158072.42,tp1788801394,480.386
5,50,3,secp256k1,250,4.1516947746276855,60.21637272754942,39491991,157967.964,tp1788801394,480.386
10,50,3,secp256k1,500,7.171905279159546,69.71648126097303,78907612,157815.224,tp1788801394,480.386
1,50,3,mldsa65,50,3.499889612197876,14.28616486238284,8033296,160665.92,tp1788801394,480.386
2,50,3,mldsa65,100,5.722125291824341,17.476024186831076,16083113,160831.13,tp1788801394,480.386
5,50,3,mldsa65,250,4.1475958824157715,60.27588200188569,40213379,160853.516,tp1788801394,480.386
10,50,3,mldsa65,500,5.9940454959869385,83.41611693383943,80473959,160947.918,tp1788801394,480.386
1,50,4,secp256k1,50,3.5141866207122803,14.228043469662305,7894915,157898.3,tp1788801394,480.386
2,50,4,secp256k1,100,5.722042560577393,17.4762768611615,15805249,158052.49,tp1788801394,480.386
5,50,4,secp256k1,250,5.989470958709717,41.73991354552896,39466046,157864.184,tp1788801394,480.386
10,50,4,secp256k1,500,5.914405345916748,84.53935277621704,78956449,157912.898,tp1788801394,480.386
1,50,4,mldsa65,50,3.508880376815796,14.249559583268981,8029798,160595.96,tp1788801394,480.386
2,50,4,mldsa65,100,3.598238468170166,27.791376498415794,16069062,160690.62,tp1788801394,480.386
5,50,4,mldsa65,250,6.324804306030273,39.52691465278094,40245038,160980.152,tp1788801394,480.386
10,50,4,mldsa65,500,5.685876131057739,87.93719533720925,80484270,160968.54,tp1788801394,480.386
1,50,5,secp256k1,50,3.5167346000671387,14.21773482680366,7905694,158113.88,tp1788801394,480.386
2,50,5,secp256k1,100,5.680171966552734,17.605100794279203,15793253,157932.53,tp1788801394,480.386
5,50,5,secp256k1,250,6.229239225387573,40.13331178245854,39446497,157785.988,tp1788801394,480.386
10,50,5,secp256k1,500,5.607691287994385,89.16325352475442,78942126,157884.252,tp1788801394,480.386
1,50,5,mldsa65,50,3.5048165321350098,14.266081987904164,8051819,161036.38,tp1788801394,480.386
2,50,5,mldsa65,100,5.69738507270813,17.551911749659418,16065800,160658.0,tp1788801394,480.386
5,50,5,mldsa65,250,4.150409698486328,60.23501730231019,40202977,160811.908,tp1788801394,480.386
10,50,5,mldsa65,500,6.559013605117798,76.23097467123186,80476359,160952.718,tp1788801394,480.386
