Workers,Batch_Size,Repeat,Signer_Key_Type,Transfers,T_Elapsed_s,Transfers_Per_Second,Deliver_Gas_Total,Deliver_Gas_Per_Tx,Generation,Gen_Wait_Finality_s
1,50,1,secp256k1,50,3.557394504547119,14.055230572850212,7953565,159071.3,tp1788802456,480.382
2,50,1,secp256k1,100,5.707539081573486,17.520685985812197,15898765,158987.65,tp1788802456,480.382
5,50,1,secp256k1,250,6.345590591430664,39.39743612479662,39724721,158898.884,tp1788802456,480.382
10,50,1,secp256k1,500,5.972828388214111,83.71243362468364,79501703,159003.406,tp1788802456,480.382
1,50,1,mldsa65,50,3.5105769634246826,14.242673076514285,8084415,161688.3,tp1788802456,480.382
2,50,1,mldsa65,100,3.583008289337158,27.909508414366407,16182745,161827.45,tp1788802456,480.382
5,50,1,mldsa65,250,6.268047094345093,39.88483115028683,40536540,162146.16,tp1788802456,480.382
10,50,1,mldsa65,500,5.987548112869263,83.50663586741477,80940235,161880.47,tp1788802456,480.382
1,50,2,secp256k1,50,3.619704246520996,13.813283239385225,7934858,158697.16,tp1788802456,480.382
2,50,2,secp256k1,100,5.739517450332642,17.423067507914688,15885554,158855.54,tp1788802456,480.382
5,50,2,secp256k1,250,4.223208427429199,59.19669945160223,39716653,158866.612,tp1788802456,480.382
10,50,2,secp256k1,500,7.827592611312866,63.87659971948113,79559840,159119.68,tp1788802456,480.382
1,50,2,mldsa65,50,7.685282468795776,6.505941740334576,8093101,161862.02,tp1788802456,480.382
2,50,2,mldsa65,100,5.705889463424683,17.525751355859576,16183568,161835.68,tp1788802456,480.382
5,50,2,mldsa65,250,4.133316993713379,60.48411006952544,40493071,161972.284,tp1788802456,480.382
10,50,2,mldsa65,500,7.429262161254883,67.30143440187129,80928088,161856.176,tp1788802456,480.382
1,50,3,secp256k1,50,3.5002167224884033,14.284829758899495,7931818,158636.36,tp1788802456,480.382
2,50,3,secp256k1,100,3.5753872394561768,27.968998405669254,15887721,158877.21,tp1788802456,480.382
5,50,3,secp256k1,250,6.232397556304932,40.11297381809195,39672827,158691.308,tp1788802456,480.382
10,50,3,secp256k1,500,5.8380653858184814,85.64480987393075,79427603,158855.206,tp1788802456,480.382
1,50,3,mldsa65,50,3.5750014781951904,13.986008203062921,8105653,162113.06,tp1788802456,480.382
2,50,3,mldsa65,100,5.6951518058776855,17.558794463879774,16197844,161978.44,tp1788802456,480.382
5,50,3,mldsa65,250,6.254178762435913,39.9732737896076,40503166,162012.664,tp1788802456,480.382
10,50,3,mldsa65,500,9.897172927856445,50.51947699051584,80888367,161776.734,tp1788802456,480.382
1,50,4,secp256k1,50,3.5249476432800293,14.184607846678276,7938210,158764.2,tp1788802456,480.382
2,50,4,secp256k1,100,5.6424336433410645,17.722849096863605,15926431,159264.31,tp1788802456,480.382
5,50,4,secp256k1,250,6.246208190917969,40.024282309946344,39797540,159190.16,tp1788802456,480.382
10,50,4,secp256k1,500,10.16110897064209,49.207227424154325,79461802,158923.604,tp1788802456,480.382
1,50,4,mldsa65,50,3.4930074214935303,14.314312558380177,8095264,161905.28,tp1788802456,480.382
2,50,4,mldsa65,100,5.662518739700317,17.659985705458766,16205797,162057.97,tp1788802456,480.382
5,50,4,mldsa65,250,4.107198476791382,60.86874092223187,40454166,161816.664,tp1788802456,480.382
10,50,4,mldsa65,500,7.895841836929321,63.32447005985737,80955394,161910.788,tp1788802456,480.382
1,50,5,secp256k1,50,7.63762903213501,6.546534243759033,7931115,158622.3,tp1788802456,480.382
2,50,5,secp256k1,100,5.699341058731079,17.545888019248377,15880869,158808.69,tp1788802456,480.382
5,50,5,secp256k1,250,4.204548358917236,59.45941838670646,39708791,158835.164,tp1788802456,480.382
10,50,5,secp256k1,500,7.343348979949951,68.08882450843399,79468690,158937.38,tp1788802456,480.382
1,50,5,mldsa65,50,3.510580062866211,14.242660501859493,8099339,161986.78,tp1788802456,480.382
2,50,5,mldsa65,100,3.5997769832611084,27.77949869255735,16207624,162076.24,tp1788802456,480.382
5,50,5,mldsa65,250,6.195693731307983,40.35060654091145,40475377,161901.508,tp1788802456,480.382
10,50,5,mldsa65,500,5.894519090652466,84.82456198893316,80965530,161931.06,tp1788802456,480.382
