Workers,Batch_Size,Repeat,Signer_Key_Type,Transfers,T_Elapsed_s,Transfers_Per_Second,Deliver_Gas_Total,Deliver_Gas_Per_Tx,Generation,Gen_Wait_Finality_s
1,50,1,secp256k1,50,5.6284425258636475,8.883452175311646,7989279,159785.58,tp1788803438,408.327
2,50,1,secp256k1,100,5.692625999450684,17.566585264805664,15958350,159583.5,tp1788803438,408.327
5,50,1,secp256k1,250,4.166023254394531,60.009266567652354,39937698,159750.792,tp1788803438,408.327
10,50,1,secp256k1,500,5.912295579910278,84.56952011989694,79841758,159683.516,tp1788803438,408.327
1,50,1,mldsa65,50,3.5136349201202393,14.230277515083714,8128025,162560.5,tp1788803438,408.327
2,50,1,mldsa65,100,5.653097867965698,17.689416022083766,16274279,162742.79,tp1788803438,408.327
5,50,1,mldsa65,250,6.253789901733398,39.975759328068584,40691341,162765.364,tp1788803438,408.327
10,50,1,mldsa65,500,9.028642416000366,55.37931141385229,81362378,162724.756,tp1788803438,408.327
1,50,2,secp256k1,50,5.574047088623047,8.970143094422884,7999070,159981.4,tp1788803438,408.327
2,50,2,secp256k1,100,3.592703104019165,27.834195341142934,15989646,159896.46,tp1788803438,408.327
5,50,2,secp256k1,250,6.234573841094971,40.09897169749341,39984887,159939.548,tp1788803438,408.327
10,50,2,secp256k1,500,5.933358907699585,84.26929969652794,79957489,159914.978,tp1788803438,408.327
1,50,2,mldsa65,50,3.5011446475982666,14.281043782152576,8125357,162507.14,tp1788803438,408.327
2,50,2,mldsa65,100,5.688423156738281,17.57956418582256,16271101,162711.01,tp1788803438,408.327
5,50,2,mldsa65,250,4.265504360198975,58.609716199736376,40649094,162596.376,tp1788803438,408.327
10,50,2,mldsa65,500,7.811110734939575,64.01138288354683,81414918,162829.836,tp1788803438,408.327
1,50,3,secp256k1,50,7.6708598136901855,6.518174130983986,7978344,159566.88,tp1788803438,408.327
2,50,3,secp256k1,100,5.685503244400024,17.58859254868875,15960111,159601.11,tp1788803438,408.327
5,50,3,secp256k1,250,4.22007942199707,59.24059123079072,39913095,159652.38,tp1788803438,408.327
10,50,3,secp256k1,500,6.739469528198242,74.18981537166651,79842378,159684.756,tp1788803438,408.327
1,50,3,mldsa65,50,3.572763204574585,13.994770192432494,8131218,162624.36,tp1788803438,408.327
2,50,3,mldsa65,100,5.671308517456055,17.632615064443083,16305614,163056.14,tp1788803438,408.327
5,50,3,mldsa65,250,4.253908634185791,58.76948037645163,40671263,162685.052,tp1788803438,408.327
10,50,3,mldsa65,500,6.66068696975708,75.06733198396131,81320546,162641.092,tp1788803438,408.327
1,50,4,secp256k1,50,3.5356128215789795,14.14181996819164,7983309,159666.18,tp1788803438,408.327
2,50,4,secp256k1,100,5.675517797470093,17.6195377353192,15958821,159588.21,tp1788803438,408.327
5,50,4,secp256k1,250,4.124576807022095,60.61227895535242,39919981,159679.924,tp1788803438,408.327
10,50,4,secp256k1,500,7.815446138381958,63.97587433230212,79944187,159888.374,tp1788803438,408.327
1,50,4,mldsa65,50,7.6722571849823,6.5169869563119125,8151165,163023.3,tp1788803438,408.327
2,50,4,mldsa65,100,5.700798273086548,17.54140301229386,16264021,162640.21,tp1788803438,408.327
5,50,4,mldsa65,250,4.162434816360474,60.06100059930635,40697315,162789.26,tp1788803438,408.327
10,50,4,mldsa65,500,7.044570684432983,70.97664604386675,81419260,162838.52,tp1788803438,408.327
1,50,5,secp256k1,50,3.5107767581939697,14.241862540334589,7990340,159806.8,tp1788803438,408.327
2,50,5,secp256k1,100,5.6960368156433105,17.556066303041618,15963473,159634.73,tp1788803438,408.327
5,50,5,secp256k1,250,4.18528151512146,59.7331384034139,39905610,159622.44,tp1788803438,408.327
10,50,5,secp256k1,500,6.742222785949707,74.15951917844706,79923420,159846.84,tp1788803438,408.327
1,50,5,mldsa65,50,3.521186351776123,14.199759684624325,8134297,162685.94,tp1788803438,408.327
2,50,5,mldsa65,100,5.683034658432007,17.596232648630508,16251023,162510.23,tp1788803438,408.327
5,50,5,mldsa65,250,4.1384437084198,60.409182198459476,40736968,162947.872,tp1788803438,408.327
10,50,5,mldsa65,500,6.755177736282349,74.01729747456956,81372220,162744.44,tp1788803438,408.327
