burst_n,repeat,offered,committed,credited,acked,failed,windows,per_window,sustained_tps,mean_latency,success_rate
10,0,10,10,10,10,0,1,10.0,0.013424900638602003,596.336772441864,1.0
10,1,10,10,10,10,0,1,10.0,0.01310297493754203,589.8044084310532,1.0
10,2,10,10,10,10,0,1,10.0,0.016203414101796945,577.258682847023,1.0
10,3,10,10,10,10,0,1,10.0,0.01328412547616864,622.0669775247574,1.0
10,4,10,10,10,10,0,1,10.0,0.013416160474473233,583.053901553154,1.0
1,0,1,1,1,1,0,1,1.0,0.0021151913651385654,472.57871413230896,1.0
1,1,1,1,1,1,0,1,1.0,0.001789122663023881,558.7656891345978,1.0
1,2,1,1,1,1,0,1,1.0,0.0017392390479435181,574.8082003593445,1.0
1,3,1,1,1,1,0,1,1.0,0.001732286531762561,577.1212079524994,1.0
1,4,1,1,1,1,0,1,1.0,0.0017385917782062027,575.0154142379761,1.0
20,0,20,20,20,20,0,1,20.0,0.024367595006237433,686.2391584634781,1.0
20,1,20,20,20,20,0,1,20.0,0.02188100777512279,723.3508000612259,1.0
20,2,20,20,20,20,0,1,20.0,0.024003896146311522,697.8804830551147,1.0
20,3,20,20,20,20,0,1,20.0,0.022067725102933075,723.6211856245994,1.0
20,4,20,20,20,20,0,1,20.0,0.021259494657052937,713.9457516670227,1.0
40,0,40,40,40,40,0,1,40.0,0.03304193589260295,896.7360852539539,1.0
40,1,40,40,40,40,0,1,40.0,0.03103720034475531,895.6605114519596,1.0
40,2,40,40,40,40,0,1,40.0,0.03298163934832769,893.8226884245872,1.0
40,3,40,40,40,40,0,1,40.0,0.031216745218952992,905.2549228608608,1.0
40,4,40,40,40,40,0,1,40.0,0.03282705821794429,892.8613542318344,1.0
5,0,5,5,5,5,0,1,5.0,0.008270461102041939,585.5834766864776,1.0
5,1,5,5,5,5,0,1,5.0,0.008614676837488032,560.8190871238709,1.0
5,2,5,5,5,5,0,1,5.0,0.008638914066250763,560.654620885849,1.0
5,3,5,5,5,5,0,1,5.0,0.0087646571689302,552.2546339511871,1.0
5,4,5,5,5,5,0,1,5.0,0.008642238703390037,559.4713015079499,1.0
