burst_n,repeat,seq,status,window_id,submit_ts,commit_ts,credit_ts,ack_ts,commit_latency_s,forward_latency_s,roundtrip_latency_s
10,0,0,acked,0,1787685608.5408583,1787685656.1153708,1787685666.1872025,1787686159.8252754,47.57451248168945,57.64634418487549,551.2844171524048
10,0,1,acked,0,1787685613.4298756,1787685656.254289,1787685678.9887342,1787686165.421029,42.82441329956055,65.55885863304138,551.9911534786224
10,0,2,acked,0,1787685618.3559184,1787685656.3914337,1787685693.859308,1787686168.5881836,38.03551530838013,75.50338959693909,550.2322652339935
10,0,3,acked,0,1787685621.301803,1787685656.5228744,1787685710.6505973,1787686171.850441,35.22107124328613,89.34879422187805,550.5486378669739
10,0,4,acked,0,1787685626.1347256,1787685656.6583242,1787685721.6865473,1787686177.2980418,30.523598670959473,95.5518217086792,551.1633162498474
10,0,5,acked,0,1787685630.977131,1787685656.7925076,1787685734.4968438,1787686182.8381135,25.81537675857544,103.51971292495728,551.8609826564789
10,0,6,acked,0,1787685635.9036112,1787685656.9405794,1787685745.4695904,1787686188.2968318,21.036968231201172,109.56597924232483,552.3932206630707
10,0,7,acked,0,1787685643.0472317,1787685657.0814943,1787685762.2571902,1787686344.6864898,14.034262657165527,119.20995855331421,701.639258146286
10,0,8,acked,0,1787685647.9560313,1787685657.2246983,1787685777.2520654,1787686348.0357249,9.268666982650757,129.2960340976715,700.0796935558319
10,0,9,acked,0,1787685651.1103158,1787685657.3630216,1787685790.0375826,1787686353.2850952,6.252705812454224,138.92726683616638,702.1747794151306
10,1,0,acked,0,1787686353.4619007,1787686401.6613,1787686417.6399007,1787686927.096818,48.19939923286438,64.17799997329712,573.6349172592163
10,1,1,acked,0,1787686358.2243454,1787686401.7867827,1787686430.358998,1787686932.3390014,43.562437295913696,72.1346526145935,574.1146559715271
10,1,2,acked,0,1787686362.978188,1787686401.9101846,1787686440.7749076,1787686937.5291388,38.9319965839386,77.79671955108643,574.5509507656097
10,1,3,acked,0,1787686367.7182484,1787686402.0428386,1787686453.4529927,1787686942.7980483,34.32459020614624,85.73474431037903,575.0797998905182
10,1,4,acked,0,1787686372.4929376,1787686402.1715596,1787686466.142528,1787686948.015959,29.678622007369995,93.64959049224854,575.5230214595795
10,1,5,acked,0,1787686377.2536898,1787686402.297551,1787686476.9030428,1787686953.2328482,25.043861150741577,99.64935302734375,575.9791584014893
10,1,6,acked,0,1787686380.1279345,1787686402.422391,1787686489.592255,1787686956.26107,22.294456481933594,109.46432065963745,576.1331355571747
10,1,7,acked,0,1787686384.9679115,1787686402.553447,1787686500.2938125,1787686961.4139304,17.585535526275635,115.32590103149414,576.4460189342499
10,1,8,acked,0,1787686389.7869637,1787686402.6886544,1787686512.9836128,1787686964.463865,12.90169072151184,123.19664907455444,574.6769013404846
10,1,9,acked,0,1787686394.6234808,1787686402.8115108,1787686525.6618795,1787687116.5290055,8.188030004501343,131.03839874267578,721.9055247306824
10,2,0,acked,0,1787687116.743906,1787687164.5818143,1787687172.1531532,1787687693.7025502,47.83790826797485,55.409247159957886,576.9586441516876
10,2,1,acked,0,1787687121.5014133,1787687164.7006626,1787687184.847595,1787687698.8742275,43.199249267578125,63.34618163108826,577.3728141784668
10,2,2,acked,0,1787687126.2906256,1787687162.660213,1787687199.4295256,1787687704.0545187,36.369587421417236,73.1389000415802,577.7638931274414
10,2,3,acked,0,1787687131.0609255,1787687162.7795854,1787687208.1069963,1787687707.0635018,31.7186598777771,77.04607081413269,576.0025763511658
10,2,4,acked,0,1787687133.7047923,1787687162.898747,1787687220.7827132,1787687712.2409694,29.193954706192017,87.07792091369629,578.5361771583557
10,2,5,acked,0,1787687138.4934697,1787687163.013844,1787687235.2572148,1787687717.408367,24.520374298095703,96.76374506950378,578.9148972034454
10,2,6,acked,0,1787687143.2430446,1787687163.1335547,1787687247.9656672,1787687722.6218548,19.890510082244873,104.72262263298035,579.3788101673126
10,2,7,acked,0,1787687148.02195,1787687163.2557724,1787687262.543909,1787687725.6601768,15.233822345733643,114.52195906639099,577.6382267475128
