ts,container,cpu_pct,mem_mb
1777195894,cosmos-testnet-node4,8.47,86.5
1777195894,cosmos-testnet-node6,8.21,86.2
1777195894,cosmos-testnet-node2,8.54,85.3
1777195894,cosmos-testnet-node0,8.65,82.1
1777195894,cosmos-testnet-node1,8.3,86.7
1777195894,cosmos-testnet-node5,8.13,82.4
1777195894,cosmos-testnet-node3,8.48,82.1
1777195899,cosmos-testnet-node4,6.16,86.5
1777195899,cosmos-testnet-node6,7.23,86.3
1777195899,cosmos-testnet-node2,7.29,85.3
1777195899,cosmos-testnet-node0,7.28,82.1
1777195899,cosmos-testnet-node1,7.15,86.7
1777195899,cosmos-testnet-node5,7.36,82.4
1777195899,cosmos-testnet-node3,7.43,82.2
1777195904,cosmos-testnet-node4,19.9,115.2
1777195904,cosmos-testnet-node6,19.17,111.3
1777195904,cosmos-testnet-node2,19.25,110.7
1777195904,cosmos-testnet-node0,19.69,114.5
1777195904,cosmos-testnet-node1,20.83,114.8
1777195904,cosmos-testnet-node5,20.0,115.0
1777195904,cosmos-testnet-node3,15.71,111.0
1777195909,cosmos-testnet-node4,21.16,163.9
1777195909,cosmos-testnet-node6,15.69,168.3
1777195909,cosmos-testnet-node2,15.9,165.8
1777195909,cosmos-testnet-node0,19.56,171.3
1777195909,cosmos-testnet-node1,19.4,155.5
1777195909,cosmos-testnet-node5,15.5,163.8
1777195909,cosmos-testnet-node3,15.69,163.9
1777195914,cosmos-testnet-node4,22.46,187.6
1777195914,cosmos-testnet-node6,16.99,210.6
1777195914,cosmos-testnet-node2,16.07,198.1
1777195914,cosmos-testnet-node0,20.63,194.2
1777195914,cosmos-testnet-node1,23.16,208.4
1777195914,cosmos-testnet-node5,15.77,190.2
1777195914,cosmos-testnet-node3,15.74,185.4
1777195919,cosmos-testnet-node4,10.85,201.7
1777195919,cosmos-testnet-node6,10.19,227.0
1777195919,cosmos-testnet-node2,10.31,208.9
1777195919,cosmos-testnet-node0,15.87,217.2
1777195919,cosmos-testnet-node1,10.53,222.1
1777195919,cosmos-testnet-node5,10.11,205.7
1777195919,cosmos-testnet-node3,10.53,192.9
1777195924,cosmos-testnet-node4,10.79,222.3
1777195924,cosmos-testnet-node6,10.89,244.7
1777195924,cosmos-testnet-node2,13.61,227.6
1777195924,cosmos-testnet-node0,16.44,237.3
1777195924,cosmos-testnet-node1,10.43,239.4
1777195924,cosmos-testnet-node5,10.69,236.9
1777195924,cosmos-testnet-node3,10.71,223.8
1777195929,cosmos-testnet-node4,10.42,236.6
1777195929,cosmos-testnet-node6,10.74,234.6
1777195929,cosmos-testnet-node2,10.15,222.3
1777195929,cosmos-testnet-node0,16.36,234.1
1777195929,cosmos-testnet-node1,10.88,232.1
1777195929,cosmos-testnet-node5,10.57,252.8
1777195929,cosmos-testnet-node3,10.56,217.5
1777195934,cosmos-testnet-node4,14.13,212.2
1777195934,cosmos-testnet-node6,10.68,238.9
1777195934,cosmos-testnet-node2,10.48,235.1
1777195934,cosmos-testnet-node0,16.0,223.5
1777195934,cosmos-testnet-node1,10.64,214.2
1777195934,cosmos-testnet-node5,10.61,249.6
1777195934,cosmos-testnet-node3,10.53,217.2
1777195939,cosmos-testnet-node4,13.64,217.5
1777195939,cosmos-testnet-node6,10.69,237.2
1777195939,cosmos-testnet-node2,10.61,225.5
1777195939,cosmos-testnet-node0,19.08,234.0
1777195939,cosmos-testnet-node1,10.7,229.5
1777195939,cosmos-testnet-node5,13.89,234.7
1777195939,cosmos-testnet-node3,10.29,215.6
1777195944,cosmos-testnet-node4,13.88,210.7
1777195944,cosmos-testnet-node6,10.8,234.0
1777195944,cosmos-testnet-node2,10.45,222.9
1777195944,cosmos-testnet-node0,15.72,233.5
1777195944,cosmos-testnet-node1,10.31,238.8
1777195944,cosmos-testnet-node5,10.51,239.3
1777195944,cosmos-testnet-node3,13.76,223.4
1777195949,cosmos-testnet-node4,10.07,223.0
1777195949,cosmos-testnet-node6,11.07,238.1
1777195949,cosmos-testnet-node2,10.4,223.9
1777195949,cosmos-testnet-node0,16.21,231.5
1777195949,cosmos-testnet-node1,10.67,237.0
1777195949,cosmos-testnet-node5,10.44,245.2
1777195949,cosmos-testnet-node3,10.54,230.8
1777195954,cosmos-testnet-node4,10.73,216.6
1777195954,cosmos-testnet-node6,10.73,250.1
1777195954,cosmos-testnet-node2,10.51,237.2
1777195954,cosmos-testnet-node0,20.09,237.6
1777195954,cosmos-testnet-node1,11.31,243.0
1777195954,cosmos-testnet-node5,10.84,248.2
1777195954,cosmos-testnet-node3,11.14,231.7
1777195959,cosmos-testnet-node4,15.42,219.6
1777195959,cosmos-testnet-node6,13.08,247.8
1777195959,cosmos-testnet-node2,11.97,236.0
1777195959,cosmos-testnet-node0,34.78,233.9
1777195959,cosmos-testnet-node1,12.89,252.5
1777195959,cosmos-testnet-node5,13.68,254.7
1777195959,cosmos-testnet-node3,13.48,238.7
1777195964,cosmos-testnet-node4,52.37,243.0
1777195964,cosmos-testnet-node6,52.3,256.3
1777195964,cosmos-testnet-node2,46.26,242.2
1777195964,cosmos-testnet-node0,61.55,248.1
1777195964,cosmos-testnet-node1,50.35,243.6
1777195964,cosmos-testnet-node5,49.94,261.6
1777195964,cosmos-testnet-node3,49.07,239.7
1777195969,cosmos-testnet-node4,25.3,239.9
1777195969,cosmos-testnet-node6,26.02,260.0
1777195969,cosmos-testnet-node2,26.69,243.3
1777195969,cosmos-testnet-node0,31.4,252.0
1777195969,cosmos-testnet-node1,26.89,244.7
1777195969,cosmos-testnet-node5,22.82,261.8
1777195969,cosmos-testnet-node3,27.23,233.3
1777195974,cosmos-testnet-node4,9.98,239.9
1777195974,cosmos-testnet-node6,27.31,248.9
1777195974,cosmos-testnet-node2,27.69,246.0
1777195974,cosmos-testnet-node0,33.16,250.0
1777195974,cosmos-testnet-node1,28.35,247.4
1777195974,cosmos-testnet-node5,27.56,266.0
1777195974,cosmos-testnet-node3,31.25,237.8
1777195979,cosmos-testnet-node4,11.2,244.5
1777195979,cosmos-testnet-node6,11.96,249.0
1777195979,cosmos-testnet-node2,17.64,239.7
1777195979,cosmos-testnet-node0,19.22,247.5
1777195979,cosmos-testnet-node1,15.07,247.6
1777195979,cosmos-testnet-node5,17.06,266.4
