ts,container,cpu_pct,mem_mb
1777195522,cosmos-testnet-node1,20.57,86.5
1777195522,cosmos-testnet-node5,21.34,90.8
1777195522,cosmos-testnet-node3,21.64,92.6
1777195522,cosmos-testnet-node6,17.6,92.2
1777195522,cosmos-testnet-node0,19.65,93.7
1777195522,cosmos-testnet-node2,21.45,93.3
1777195522,cosmos-testnet-node4,18.45,90.0
1777195527,cosmos-testnet-node1,34.04,114.3
1777195527,cosmos-testnet-node5,34.3,114.4
1777195527,cosmos-testnet-node3,34.87,120.4
1777195527,cosmos-testnet-node6,39.65,117.8
1777195527,cosmos-testnet-node0,40.96,120.0
1777195527,cosmos-testnet-node2,38.87,119.7
1777195527,cosmos-testnet-node4,39.27,120.5
1777195532,cosmos-testnet-node1,27.04,127.8
1777195532,cosmos-testnet-node5,29.89,128.4
1777195532,cosmos-testnet-node3,22.96,122.7
1777195532,cosmos-testnet-node6,29.67,120.3
1777195532,cosmos-testnet-node0,31.92,124.9
1777195532,cosmos-testnet-node2,13.77,119.9
1777195532,cosmos-testnet-node4,24.37,124.8
1777195537,cosmos-testnet-node1,13.14,133.2
1777195537,cosmos-testnet-node5,13.32,131.6
1777195537,cosmos-testnet-node3,13.53,133.0
1777195537,cosmos-testnet-node6,13.2,124.9
1777195537,cosmos-testnet-node0,14.56,136.8
1777195537,cosmos-testnet-node2,16.27,130.6
1777195537,cosmos-testnet-node4,13.36,141.6
1777195542,cosmos-testnet-node1,12.49,135.9
1777195542,cosmos-testnet-node5,12.73,138.5
1777195542,cosmos-testnet-node3,15.75,139.4
1777195542,cosmos-testnet-node6,12.36,129.9
1777195542,cosmos-testnet-node0,14.44,143.4
1777195542,cosmos-testnet-node2,15.84,133.6
1777195542,cosmos-testnet-node4,12.33,142.9
1777195547,cosmos-testnet-node1,10.98,136.8
1777195547,cosmos-testnet-node5,11.49,141.4
1777195547,cosmos-testnet-node3,10.66,144.5
1777195547,cosmos-testnet-node6,10.64,132.7
1777195547,cosmos-testnet-node0,13.64,146.5
1777195547,cosmos-testnet-node2,10.82,135.4
1777195547,cosmos-testnet-node4,10.73,144.8
1777195552,cosmos-testnet-node1,10.61,137.6
1777195552,cosmos-testnet-node5,10.67,142.0
1777195552,cosmos-testnet-node3,10.83,147.0
1777195552,cosmos-testnet-node6,10.97,135.6
1777195552,cosmos-testnet-node0,12.76,151.0
1777195552,cosmos-testnet-node2,10.72,137.7
1777195552,cosmos-testnet-node4,10.67,147.1
1777195557,cosmos-testnet-node1,14.25,138.6
